#chr	gene_cis_start	gene_cis_end	gene_id	TSS	end.x	gene_name	TADB_start	TADB_end	TADB_index	TADB_id
chr1	0	6480000	ENSG00000008128	1724356	1724357	CDK11A	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000008130	1780456	1780457	NADK	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000067606	2050410	2050411	PRKCZ	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7101193	ENSG00000069424	5990926	5990927	KCNAB2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000069812	6424669	6424670	HES2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000078369	1891116	1891117	GNB1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000078808	1232066	1232067	SDF4	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000078900	3652515	3652516	TP73	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000097021	6393766	6393767	ACOT7	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000107404	1349417	1349418	DVL1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000116151	2391706	2391707	MORN1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000116198	3857395	3857396	CEP104	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000116213	3652760	3652761	WRAP73	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000116237	6235971	6235972	ICMT	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000116251	6209388	6209389	RPL22	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000116254	6180320	6180321	CHD5	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000127054	1324686	1324687	INTS11	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000130762	3454664	3454665	ARHGEF16	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000130764	3796497	3796498	LRRC47	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000131584	1307929	1307930	ACAP3	0	7520074	TADB_1	chr1_0_7520074
